ID_zamowienia,Data_zakupu,ID_klienta,Kategoria,Produkt,Cena_jednostkowa,Ilosc,Kwota_zamowienia,Metoda_platnosci,Wojewodztwo
51,2023-12-09,3146,Sport,Rakieta tenisowa,1412.21,2,2824.42,PayPal,Kujawsko-Pomorskie
52,2024-10-10,1606,Książki,Podręcznik,2152.36,1,2152.36,Przelew,Lubuskie
53,2025-07-15,3975,Elektronika,Monitor,1486.36,1,1486.36,Przelew,Mazowieckie
54,2023-04-10,3613,AGD,Lodówka,2792.87,3,8378.61,BLIK,Śląskie
55,2024-05-02,2409,Moda,Spodnie,1285.73,2,2571.46,BLIK,Mazowieckie
56,2024-02-15,4110,Elektronika,Smartfon,3518.37,4,14073.48,Karta,Podlaskie
57,2025-05-11,1524,Moda,Buty,1295.91,4,5183.64,PayPal,Podlaskie
58,2022-11-15,4847,Elektronika,Monitor,3995.51,1,3995.51,PayPal,Świętokrzyskie
59,2025-05-22,4425,Sport,Hantle,1703.22,4,6812.88,BLIK,Łódzkie
60,2025-03-09,2148,AGD,Mikser,792.11,2,1584.22,BLIK,Podlaskie
61,2023-12-09,4854,Moda,Koszulka,205.99,2,411.98,BLIK,Opolskie
62,2025-03-01,2595,Sport,Rakieta tenisowa,2620.77,1,2620.77,PayPal,Lubuskie
63,2023-04-04,3931,Książki,Album,4213.27,4,16853.08,BLIK,Warmińsko-Mazurskie
64,2023-12-17,1635,AGD,Kuchenka,681.07,2,1362.14,BLIK,Świętokrzyskie
65,2024-10-03,4675,AGD,Mikser,2006.13,3,6018.39,BLIK,Łódzkie
66,2022-12-31,3838,Moda,Czapka,937.98,2,1875.96,Przelew,Kujawsko-Pomorskie
67,2023-02-22,1512,Sport,Rakieta tenisowa,309.8,2,619.6,Przelew,Małopolskie
68,2024-09-04,2212,Elektronika,Słuchawki,1414.07,4,5656.28,Przelew,Warmińsko-Mazurskie
69,2023-12-23,1153,Książki,Podręcznik,2109.61,4,8438.44,PayPal,Śląskie
70,2025-02-28,2092,Książki,Powieść,1722.56,4,6890.24,Przelew,Mazowieckie
71,2024-08-22,3521,Sport,Rakieta tenisowa,2381.39,2,4762.78,PayPal,Pomorskie
72,2024-10-24,3070,Sport,Piłka,2334.08,1,2334.08,BLIK,Podlaskie
73,2023-12-12,4977,Książki,Album,245.61,3,736.83,BLIK,Śląskie
74,2023-12-06,1515,Moda,Koszulka,2706.1,1,2706.1,PayPal,Dolnośląskie
75,2025-01-13,4546,Moda,Koszulka,4338.65,4,17354.6,PayPal,Dolnośląskie
76,2023-11-24,1956,Sport,Rower,2875.37,1,2875.37,Przelew,Opolskie
77,2022-10-15,2191,Książki,Album,1942.79,1,1942.79,BLIK,Opolskie
78,2025-01-23,4373,Sport,Rakieta tenisowa,365.42,3,1096.26,BLIK,Zachodniopomorskie
79,2025-02-04,1089,AGD,Lodówka,3421.37,1,3421.37,PayPal,Zachodniopomorskie
80,2023-06-02,1114,Moda,Spodnie,135.89,2,271.78,Karta,Łódzkie
81,2022-11-04,4146,Sport,Rower,3489.75,1,3489.75,Karta,Dolnośląskie
82,2024-06-29,1675,Sport,Piłka,4021.34,1,4021.34,BLIK,Pomorskie
83,2025-02-09,2571,Elektronika,Tablet,4952.72,4,19810.88,BLIK,Mazowieckie
84,2024-03-13,3326,Książki,Album,2156.39,1,2156.39,Karta,Śląskie
85,2023-04-20,2903,Elektronika,Smartfon,2680.95,4,10723.8,Karta,Lubelskie
86,2022-11-19,1395,Książki,Poradnik,517.92,4,2071.68,Karta,Kujawsko-Pomorskie
87,2023-12-16,1717,AGD,Kuchenka,1787.43,4,7149.72,Przelew,Podkarpackie
88,2023-09-12,4140,AGD,Lodówka,3166.55,1,3166.55,Przelew,Lubuskie
89,2024-09-02,4636,Elektronika,Monitor,3369.14,4,13476.56,Przelew,Kujawsko-Pomorskie
90,2023-02-02,3445,Książki,Podręcznik,2482.21,3,7446.63,Przelew,Podlaskie
91,2024-11-12,4914,Książki,Poradnik,4440.77,3,13322.31,BLIK,Warmińsko-Mazurskie
92,2022-11-24,3960,Sport,Piłka,3812.32,4,15249.28,Karta,Lubelskie
93,2023-08-03,3681,Książki,Komiks,1995.32,3,5985.96,BLIK,Pomorskie
94,2024-12-03,2519,Książki,Podręcznik,1181.48,4,4725.92,Karta,Mazowieckie
95,2024-01-10,2324,Sport,Piłka,4737.3,1,4737.3,PayPal,Podkarpackie
96,2024-03-10,3214,Sport,Hantle,3890.19,2,7780.38,Przelew,Podlaskie
97,2025-01-22,1172,Moda,Buty,573.76,3,1721.28,Karta,Małopolskie
98,2024-02-09,1828,Sport,Rower,3710.05,4,14840.2,Przelew,Kujawsko-Pomorskie
99,2024-01-21,1504,Elektronika,Tablet,2925.18,2,5850.36,Przelew,Lubuskie
100,2023-05-31,2140,Elektronika,Smartfon,4345.62,2,8691.24,BLIK,Podlaskie
101,2023-10-31,1814,Sport,Rakieta tenisowa,4850.0,1,4850.0,Karta,Lubelskie
102,2024-02-23,2250,Książki,Poradnik,4597.2,4,18388.8,Przelew,Podkarpackie
103,2022-10-12,2549,Elektronika,Laptop,847.75,1,847.75,Przelew,Warmińsko-Mazurskie
104,2024-06-11,3703,Elektronika,Słuchawki,3490.69,3,10472.07,Przelew,Kujawsko-Pomorskie
105,2023-01-20,1967,AGD,Kuchenka,4794.34,4,19177.36,BLIK,Lubuskie
106,2024-03-15,3723,Sport,Rakieta tenisowa,1401.36,4,5605.44,BLIK,Dolnośląskie
107,2023-03-18,1868,Moda,Kurtka,2926.61,4,11706.44,Karta,Podkarpackie
108,2025-05-23,4795,AGD,Mikser,1413.22,1,1413.22,Karta,Lubuskie
109,2024-10-12,1389,Książki,Podręcznik,4556.42,1,4556.42,BLIK,Śląskie
110,2023-05-28,1797,Książki,Powieść,2102.85,4,8411.4,BLIK,Opolskie
111,2023-02-01,1373,Książki,Podręcznik,151.31,1,151.31,Karta,Małopolskie
112,2025-05-15,2240,Elektronika,Tablet,2978.77,3,8936.31,BLIK,Opolskie
113,2023-09-27,3152,AGD,Mikser,4194.88,2,8389.76,Przelew,Warmińsko-Mazurskie
114,2023-05-08,1475,Elektronika,Słuchawki,300.75,2,601.5,Karta,Pomorskie
115,2023-01-08,4636,Książki,Poradnik,2786.05,1,2786.05,Karta,Podlaskie
116,2025-02-23,3504,Moda,Buty,1251.79,2,2503.58,BLIK,Mazowieckie
117,2025-04-12,1448,AGD,Zmywarka,3038.75,2,6077.5,Karta,Dolnośląskie
118,2025-07-04,3201,Moda,Kurtka,1357.99,3,4073.97,BLIK,Małopolskie
119,2022-09-27,2077,AGD,Odkurzacz,1552.73,1,1552.73,PayPal,Pomorskie
120,2025-02-27,4374,AGD,Mikser,2957.98,3,8873.94,Przelew,Warmińsko-Mazurskie
121,2023-10-09,1434,Książki,Podręcznik,3204.02,3,9612.06,Przelew,Lubelskie
122,2025-03-04,4921,Sport,Rower,1765.93,2,3531.86,BLIK,Warmińsko-Mazurskie
123,2024-05-20,1248,AGD,Odkurzacz,4522.71,4,18090.84,BLIK,Mazowieckie
124,2024-11-20,1796,Sport,Rower,4314.57,1,4314.57,PayPal,Podlaskie
125,2025-07-16,4031,Elektronika,Laptop,3849.21,4,15396.84,Karta,Małopolskie
126,2023-11-01,1042,Książki,Komiks,1657.18,3,4971.54,PayPal,Opolskie
127,2023-12-20,3142,AGD,Mikser,2311.39,4,9245.56,Przelew,Lubelskie
128,2025-04-01,2887,Sport,Rolki,1741.42,3,5224.26,Przelew,Opolskie
129,2024-07-22,4474,Książki,Komiks,3017.64,3,9052.92,Karta,Pomorskie
130,2025-02-12,2428,Moda,Kurtka,1751.14,2,3502.28,BLIK,Mazowieckie
131,2023-05-28,3593,Książki,Powieść,1792.84,2,3585.68,Karta,Świętokrzyskie
132,2025-07-02,3296,Moda,Czapka,1621.48,2,3242.96,Przelew,Kujawsko-Pomorskie
133,2024-05-06,2280,AGD,Zmywarka,32.92,4,131.68,PayPal,Mazowieckie
134,2025-04-19,1638,AGD,Zmywarka,4931.56,3,14794.68,PayPal,Lubelskie
135,2023-02-08,4457,Moda,Kurtka,1857.19,4,7428.76,Karta,Podlaskie
136,2025-06-17,1918,AGD,Odkurzacz,3572.48,3,10717.44,BLIK,Opolskie
137,2025-08-10,3786,Sport,Rakieta tenisowa,4338.73,2,8677.46,Przelew,Warmińsko-Mazurskie
138,2024-06-04,2976,Elektronika,Słuchawki,927.77,3,2783.31,Karta,Łódzkie
139,2022-10-19,4283,Moda,Kurtka,1181.42,1,1181.42,Karta,Podkarpackie
140,2023-11-17,3158,Moda,Buty,3251.14,2,6502.28,PayPal,Warmińsko-Mazurskie
141,2023-03-01,3472,Moda,Koszulka,2831.0,2,5662.0,Karta,Lubelskie
142,2023-03-01,2975,Sport,Rower,3045.63,3,9136.89,Przelew,Zachodniopomorskie
143,2023-02-08,3324,Książki,Powieść,1201.39,2,2402.78,BLIK,Lubelskie
144,2025-02-11,2630,Sport,Hantle,457.68,2,915.36,PayPal,Łódzkie
145,2023-03-21,1228,Elektronika,Tablet,2632.07,4,10528.28,PayPal,Dolnośląskie
146,2025-07-13,2870,Moda,Kurtka,4847.96,4,19391.84,BLIK,Lubelskie
147,2023-02-05,1846,Elektronika,Tablet,4107.89,2,8215.78,Przelew,Dolnośląskie
148,2023-11-15,3373,Moda,Buty,4196.14,1,4196.14,BLIK,Lubelskie
149,2024-03-26,1112,Sport,Hantle,1013.54,4,4054.16,PayPal,Warmińsko-Mazurskie
150,2022-10-09,2828,Elektronika,Laptop,3843.54,2,7687.08,BLIK,Opolskie
151,2024-06-17,1901,Sport,Rakieta tenisowa,2672.3,1,2672.3,BLIK,Dolnośląskie
152,2024-04-30,3945,Moda,Czapka,335.61,4,1342.44,Karta,Dolnośląskie
153,2023-06-11,3376,Moda,Kurtka,1288.11,1,1288.11,Karta,Kujawsko-Pomorskie
154,2024-02-18,2604,AGD,Odkurzacz,1757.36,1,1757.36,BLIK,Lubuskie
155,2025-06-03,4530,Sport,Rower,639.0,4,2556.0,Karta,Małopolskie
156,2023-10-26,4391,Sport,Hantle,351.15,4,1404.6,BLIK,Lubuskie
157,2023-02-15,2851,Książki,Poradnik,3980.43,2,7960.86,BLIK,Śląskie
158,2022-11-03,1077,Książki,Podręcznik,4076.58,3,12229.74,BLIK,Świętokrzyskie
159,2023-07-25,3449,Sport,Piłka,4388.46,1,4388.46,PayPal,Dolnośląskie
160,2022-10-12,1574,AGD,Zmywarka,1520.86,3,4562.58,Przelew,Mazowieckie
161,2025-01-31,2997,Elektronika,Smartfon,4499.88,3,13499.64,Karta,Dolnośląskie
162,2023-09-22,3438,AGD,Odkurzacz,2169.01,3,6507.03,Przelew,Dolnośląskie
163,2025-02-23,2312,Moda,Kurtka,3974.25,1,3974.25,PayPal,Świętokrzyskie
164,2025-07-02,2120,AGD,Kuchenka,4988.51,1,4988.51,Karta,Pomorskie
165,2025-03-22,2857,AGD,Mikser,186.99,2,373.98,BLIK,Pomorskie
166,2024-09-21,2932,AGD,Lodówka,1723.57,2,3447.14,Przelew,Warmińsko-Mazurskie
167,2022-11-09,3062,Sport,Rakieta tenisowa,654.89,4,2619.56,Karta,Dolnośląskie
168,2025-06-03,4756,Książki,Podręcznik,1161.67,4,4646.68,BLIK,Opolskie
169,2025-02-15,2834,AGD,Odkurzacz,2836.23,2,5672.46,Przelew,Pomorskie
170,2024-06-27,3597,Sport,Hantle,4796.19,4,19184.76,BLIK,Dolnośląskie
171,2024-06-12,4687,Moda,Buty,783.69,1,783.69,BLIK,Małopolskie
172,2024-12-22,3730,Elektronika,Smartfon,110.19,4,440.76,PayPal,Lubuskie
173,2022-11-09,2863,Sport,Rolki,3954.62,1,3954.62,Przelew,Podlaskie
174,2023-08-12,2013,Elektronika,Monitor,1884.69,1,1884.69,Przelew,Zachodniopomorskie
175,2022-08-23,2636,Elektronika,Tablet,2265.18,2,4530.36,Karta,Podlaskie
176,2025-01-29,1566,Sport,Piłka,1674.09,2,3348.18,Przelew,Dolnośląskie
177,2024-09-08,4507,Książki,Powieść,3726.36,2,7452.72,Karta,Pomorskie
178,2025-07-24,1536,Moda,Koszulka,589.05,4,2356.2,BLIK,Opolskie
179,2024-05-08,4600,Moda,Spodnie,2414.57,3,7243.71,PayPal,Opolskie
180,2022-10-31,1663,AGD,Kuchenka,4565.49,2,9130.98,Karta,Łódzkie
181,2024-08-16,1284,Sport,Rakieta tenisowa,4575.93,1,4575.93,Przelew,Opolskie
182,2023-07-17,1966,Moda,Kurtka,1079.15,1,1079.15,Karta,Podkarpackie
183,2025-05-24,3523,Elektronika,Smartfon,2795.38,2,5590.76,Przelew,Zachodniopomorskie
184,2024-01-30,3262,Elektronika,Smartfon,1563.49,2,3126.98,Przelew,Opolskie
185,2024-04-29,1285,AGD,Zmywarka,3132.38,1,3132.38,PayPal,Dolnośląskie
186,2023-07-23,4246,AGD,Lodówka,1484.34,3,4453.02,BLIK,Małopolskie
187,2024-06-03,1946,Sport,Piłka,2015.8,2,4031.6,Przelew,Podkarpackie
188,2024-04-25,1799,Elektronika,Słuchawki,396.01,3,1188.03,BLIK,Podlaskie
189,2024-08-16,1054,AGD,Lodówka,2055.5,3,6166.5,PayPal,Małopolskie
190,2025-01-08,3007,Książki,Powieść,2767.58,3,8302.74,Przelew,Opolskie
191,2024-02-20,4122,Książki,Powieść,4003.58,3,12010.74,Karta,Lubuskie
192,2025-02-27,2311,Moda,Buty,1231.0,2,2462.0,PayPal,Świętokrzyskie
193,2025-04-10,3516,AGD,Kuchenka,4723.16,2,9446.32,BLIK,Warmińsko-Mazurskie
194,2025-08-12,4156,Moda,Spodnie,445.83,3,1337.49,Przelew,Zachodniopomorskie
195,2024-02-21,1513,AGD,Kuchenka,3221.77,2,6443.54,Karta,Warmińsko-Mazurskie
196,2025-07-29,2409,Książki,Album,1692.61,3,5077.83,Przelew,Łódzkie
197,2022-09-26,2279,Sport,Rolki,3128.26,2,6256.52,BLIK,Kujawsko-Pomorskie
198,2025-04-07,4577,Moda,Czapka,1486.44,4,5945.76,BLIK,Lubuskie
199,2025-05-13,4798,Elektronika,Laptop,2837.57,3,8512.71,PayPal,Mazowieckie
200,2025-07-14,3599,Moda,Buty,2572.04,1,2572.04,BLIK,Zachodniopomorskie
201,2022-08-26,3541,Elektronika,Smartfon,713.99,3,2141.97,PayPal,Podlaskie
202,2024-06-06,1804,Moda,Czapka,874.96,3,2624.88,Przelew,Lubelskie
203,2023-09-12,3981,Moda,Czapka,4078.97,1,4078.97,BLIK,Mazowieckie
204,2023-03-11,2622,Książki,Powieść,2497.38,4,9989.52,Karta,Podlaskie
205,2023-03-18,1730,Książki,Poradnik,4502.09,2,9004.18,PayPal,Małopolskie
206,2024-01-21,3953,Sport,Rakieta tenisowa,3331.88,3,9995.64,Karta,Mazowieckie
207,2022-10-08,4629,Moda,Czapka,1928.03,2,3856.06,PayPal,Małopolskie
208,2025-06-11,4363,Sport,Hantle,938.17,1,938.17,Przelew,Podlaskie
209,2024-07-31,4583,Książki,Podręcznik,4188.65,3,12565.95,PayPal,Mazowieckie
210,2023-07-15,3670,AGD,Odkurzacz,4747.55,3,14242.65,PayPal,Lubelskie
211,2024-03-08,4219,Książki,Powieść,1364.16,3,4092.48,Przelew,Śląskie
212,2022-11-05,1364,Sport,Hantle,4235.11,3,12705.33,Przelew,Małopolskie
213,2022-12-15,3760,Elektronika,Laptop,2381.7,1,2381.7,PayPal,Mazowieckie
214,2025-03-10,3089,Elektronika,Smartfon,3530.53,4,14122.12,Karta,Łódzkie
215,2022-12-30,1171,AGD,Odkurzacz,407.27,4,1629.08,Przelew,Świętokrzyskie
216,2023-03-14,3864,Moda,Kurtka,1817.65,4,7270.6,Karta,Mazowieckie
217,2023-11-05,1011,Moda,Koszulka,2241.11,3,6723.33,BLIK,Dolnośląskie
218,2024-10-07,3421,AGD,Zmywarka,3800.0,1,3800.0,PayPal,Lubelskie
219,2024-06-18,4642,Elektronika,Laptop,2457.34,3,7372.02,BLIK,Kujawsko-Pomorskie
220,2024-09-01,2039,Książki,Komiks,216.35,2,432.7,Przelew,Mazowieckie
221,2025-08-07,4853,Moda,Czapka,2376.59,3,7129.77,Przelew,Pomorskie
222,2023-07-18,1826,Elektronika,Tablet,4623.49,2,9246.98,Przelew,Zachodniopomorskie
223,2022-11-22,2466,Moda,Kurtka,4225.86,2,8451.72,BLIK,Łódzkie
224,2025-03-24,2121,Elektronika,Tablet,2812.17,1,2812.17,Przelew,Pomorskie
225,2024-09-08,1038,AGD,Lodówka,3629.34,4,14517.36,Przelew,Dolnośląskie
226,2025-07-10,4468,Elektronika,Monitor,3957.8,1,3957.8,BLIK,Mazowieckie
227,2022-10-15,1310,Książki,Komiks,4385.79,2,8771.58,Przelew,Podlaskie
228,2023-08-25,2297,Moda,Buty,4376.01,1,4376.01,PayPal,Śląskie
229,2024-03-20,1476,AGD,Kuchenka,282.37,1,282.37,BLIK,Pomorskie
230,2025-03-19,2262,Sport,Piłka,2912.17,4,11648.68,Karta,Podlaskie
231,2024-09-06,4760,Elektronika,Monitor,3693.16,2,7386.32,Przelew,Zachodniopomorskie
232,2022-09-24,4736,Moda,Kurtka,3583.46,1,3583.46,PayPal,Mazowieckie
233,2023-12-09,4415,Książki,Powieść,565.15,1,565.15,PayPal,Lubuskie
234,2023-03-20,1938,AGD,Lodówka,3993.99,1,3993.99,PayPal,Lubelskie
235,2023-03-16,3611,AGD,Zmywarka,4946.14,3,14838.42,PayPal,Opolskie
236,2023-01-29,4314,Sport,Rakieta tenisowa,3255.24,1,3255.24,Karta,Świętokrzyskie
237,2025-05-12,1936,Moda,Buty,899.11,2,1798.22,Karta,Podlaskie
238,2023-10-01,1726,AGD,Zmywarka,308.06,3,924.18,Karta,Kujawsko-Pomorskie
239,2024-07-09,2914,AGD,Kuchenka,4974.64,1,4974.64,BLIK,Śląskie
240,2025-06-25,1002,Moda,Spodnie,3486.18,4,13944.72,PayPal,Śląskie
241,2025-02-18,1579,Książki,Podręcznik,2694.13,1,2694.13,BLIK,Pomorskie
242,2025-05-13,3682,Moda,Buty,4389.76,3,13169.28,PayPal,Zachodniopomorskie
243,2024-07-07,1169,Elektronika,Tablet,4779.14,4,19116.56,Karta,Warmińsko-Mazurskie
244,2023-11-10,1983,Elektronika,Słuchawki,3681.36,2,7362.72,PayPal,Warmińsko-Mazurskie
245,2023-11-19,1453,AGD,Zmywarka,262.94,2,525.88,Karta,Lubuskie
246,2024-10-23,2137,Książki,Album,399.13,1,399.13,PayPal,Zachodniopomorskie
247,2024-05-08,4111,Książki,Poradnik,4126.91,4,16507.64,BLIK,Dolnośląskie
248,2022-09-09,1215,AGD,Zmywarka,1349.8,2,2699.6,Przelew,Dolnośląskie
249,2025-01-24,2704,Sport,Piłka,803.56,4,3214.24,Karta,Opolskie
250,2024-08-03,1190,Książki,Powieść,4651.85,4,18607.4,Przelew,Lubelskie
251,2023-03-17,3808,Sport,Rakieta tenisowa,4406.74,2,8813.48,Przelew,Warmińsko-Mazurskie
252,2023-10-23,4741,Moda,Spodnie,4103.34,1,4103.34,Przelew,Warmińsko-Mazurskie
253,2025-05-04,3012,Moda,Kurtka,2789.79,1,2789.79,PayPal,Łódzkie
254,2022-12-31,2256,Moda,Czapka,3092.3,1,3092.3,Karta,Dolnośląskie
255,2025-07-08,1674,Moda,Kurtka,65.18,1,65.18,PayPal,Lubelskie
256,2023-04-25,4902,AGD,Lodówka,2172.56,2,4345.12,PayPal,Lubuskie
257,2024-02-25,2887,Książki,Podręcznik,3948.26,4,15793.04,PayPal,Małopolskie
258,2024-09-17,1917,Sport,Hantle,848.56,4,3394.24,Karta,Podlaskie
259,2024-08-24,3353,Elektronika,Laptop,391.98,2,783.96,BLIK,Warmińsko-Mazurskie
260,2022-12-05,1947,Książki,Album,3753.27,3,11259.81,Karta,Lubuskie
261,2025-04-03,3126,Książki,Poradnik,4111.13,3,12333.39,PayPal,Śląskie
262,2025-01-09,2453,AGD,Lodówka,25.13,2,50.26,BLIK,Zachodniopomorskie
263,2023-08-30,1038,Sport,Piłka,528.92,1,528.92,Przelew,Łódzkie
264,2024-07-21,4201,Książki,Podręcznik,1505.9,4,6023.6,Przelew,Świętokrzyskie
265,2024-01-14,4453,Sport,Hantle,1380.83,1,1380.83,PayPal,Dolnośląskie
266,2025-07-21,1868,Sport,Rakieta tenisowa,4719.21,4,18876.84,Przelew,Podkarpackie
267,2024-03-05,4328,AGD,Mikser,2222.65,3,6667.95,BLIK,Lubuskie
268,2022-11-05,1792,Moda,Czapka,1017.79,1,1017.79,PayPal,Lubuskie
269,2022-12-17,2083,Moda,Kurtka,2376.59,4,9506.36,BLIK,Kujawsko-Pomorskie
270,2024-09-25,2050,Elektronika,Słuchawki,3887.45,3,11662.35,BLIK,Małopolskie
271,2023-12-23,1692,Sport,Hantle,3988.05,4,15952.2,PayPal,Lubuskie
272,2023-10-21,4224,Moda,Buty,943.59,3,2830.77,BLIK,Świętokrzyskie
273,2022-10-09,2701,Elektronika,Monitor,1252.75,1,1252.75,PayPal,Kujawsko-Pomorskie
274,2024-10-26,1583,Sport,Rakieta tenisowa,1359.59,4,5438.36,Przelew,Zachodniopomorskie
275,2023-03-15,1337,Elektronika,Słuchawki,380.79,4,1523.16,BLIK,Warmińsko-Mazurskie
276,2024-01-17,1101,AGD,Zmywarka,3790.16,4,15160.64,Karta,Dolnośląskie
277,2025-03-30,3635,AGD,Odkurzacz,542.55,1,542.55,Karta,Świętokrzyskie
278,2023-06-19,2951,Sport,Rolki,1743.16,4,6972.64,BLIK,Lubuskie
279,2023-02-26,2949,Elektronika,Laptop,2680.53,1,2680.53,Karta,Zachodniopomorskie
280,2025-02-14,4237,Sport,Rower,1996.68,2,3993.36,Przelew,Podlaskie
281,2023-01-15,1886,Moda,Spodnie,4110.77,2,8221.54,PayPal,Mazowieckie
282,2023-11-19,3056,AGD,Zmywarka,3538.25,2,7076.5,BLIK,Kujawsko-Pomorskie
283,2022-10-05,2713,Elektronika,Laptop,4677.31,4,18709.24,PayPal,Świętokrzyskie
284,2023-08-01,2107,Sport,Hantle,2432.3,3,7296.9,PayPal,Podkarpackie
285,2023-11-27,1808,Moda,Spodnie,2414.9,3,7244.7,PayPal,Podlaskie
286,2024-05-09,4595,AGD,Lodówka,320.55,3,961.65,Karta,Kujawsko-Pomorskie
287,2024-02-18,1749,Książki,Poradnik,1111.69,3,3335.07,PayPal,Zachodniopomorskie
288,2022-11-26,4883,Książki,Podręcznik,3300.36,3,9901.08,BLIK,Lubelskie
289,2022-12-28,1311,Moda,Buty,1157.7,4,4630.8,Karta,Opolskie
290,2025-06-22,1444,AGD,Kuchenka,1013.72,3,3041.16,Karta,Lubelskie
291,2023-12-18,1158,Elektronika,Monitor,887.48,1,887.48,BLIK,Zachodniopomorskie
292,2024-04-29,4453,Sport,Rakieta tenisowa,1742.76,4,6971.04,PayPal,Lubuskie
